,user_id,username,Age,Proficiency,Objective,Learning Type,Tell us about myself
62,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
63,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
64,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
65,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
66,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
67,josephbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
68,emilyjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
69,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
70,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
71,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
72,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
73,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
74,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
77,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
78,susannawilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
79,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
80,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
81,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
82,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
83,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
84,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
85,josephbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
86,emilyjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
87,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
88,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
89,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
90,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
91,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
92,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
93,andrewlee,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
94,kristinhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
95,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
96,susannawilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
97,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
98,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
99,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
102,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
103,josephbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
104,emilyjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
105,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
106,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
107,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
108,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
109,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
110,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
111,andrewlee,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
112,kristinhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
113,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
114,susannawilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
115,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
116,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
117,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
118,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
119,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
120,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
121,josephbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
122,emilyjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
123,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
124,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
127,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
128,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
129,andrewlee,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
130,kristinhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
131,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
132,susannawilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
133,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
134,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
135,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
136,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
137,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
138,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
139,josephbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
140,emilyjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
141,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
142,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
143,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
144,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
145,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
146,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
147,andrewlee,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
148,kristinhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
149,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
152,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
153,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
154,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
155,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
156,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
157,josephbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
158,emilyjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
159,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
160,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
161,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
162,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
163,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
164,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
165,andrewlee,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
166,kristinhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
167,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
168,susannawilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
169,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
170,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
171,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
172,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
173,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
174,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
177,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
178,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
179,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
180,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
181,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
182,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
183,andrewlee,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
184,kristinhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
185,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
186,susannawilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
187,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
188,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
189,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
190,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
191,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
192,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
193,josephbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
194,emilyjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
195,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
196,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
197,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
198,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
199,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
202,kristinhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
203,frankdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
204,susannawilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
205,davidbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
206,sarahjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
207,markwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
208,jenniferhernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
209,williamdavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
210,elizabethwilliams,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
211,josephbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
212,emilyjones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
213,michaelwilson,35-45,Intermediate,School/Uni,Self Study,I am a teacher and I am learning English so that I can teach my students. I am also interested in traveling to England.,
214,jessicahernandez,45-55,Advanced,Skill,Live Class,I am a business woman and I am learning English so that I can improve my career prospects. I am also interested in traveling to the United States.,
215,danieldavis,55-65,Begginer,Career,Mix,I am a doctor and I am learning English so that I can communicate with my patients. I am also interested in traveling to the United States.,
216,rebeccaknight,65,Intermediate,Social,Self Study,I am a retired nurse and I am learning English so that I can make friends with people from other countries. I am also interested in traveling to Europe.,
217,jamesbrown,18-24,Advanced Intermediate,Other,Live Class,I am a student at the university of California, Berkeley. I am majoring in linguistics and I am interested in learning English so that I can work as a translator.
218,michellejones,24-35,Begginer,Hobby,Mix,I am a stay-at-home mom and I am learning English so that I can read English books to my children. I am also interested in traveling to the United States.,
