,user_id,username,Age,Language,Proficiency,Objective,Learning Type,Tell us about yourself
129,coTUvy,AnnaVas,35-45,Japanese,Begginer,Career,Mix,"I have lived in Japan for over three years, but still don't understand the language. I need help learning Japanese so that I can finally assimilate and fit in."
130,gK4wYQ,Al4Sma,24-35,German,Intermediate,Career,Mix,"🖖🏻I love to have fun💃🏻I am Fun loving,outgoing person with positive attitude and I like to share my feelings with him❤️I want to have a gentleman in my life💘who understands me.I want my man for his personality than his looks"
131,wxbQfj,betterJobs,35-45,English,Advanced,Career,Self Study,I'm currently studying French in order to get a better job
132,4pJZYV,Hello_Shubham,45-55,English,Advanced,Career,Live Class,Learning new languages
133,0uDUTG,lang_learn @langlearn,18-24,English,Advanced,Other,Live Class,loves to learn new languages
134,N8p4oO,chary06,35-45,Arabic,Begginer,School/Uni,Self Study,Allied health student and carer
135,YDZSQW,Jason_L04,24-35,English,Begginer,Travel,Self Study,"Professional, has a lot of interests and never stops learning"
136,EWeQbM,danny_02,45-55,Arabic,Advanced,Career,Mix,Retired Police Officer
137,9F517Z,K9Tusker,18-24,English,Intermediate,Career,Live Class,English movie
138,u87603c,jeshua55,24-35,English,Intermediate,Hobby,Self Study,I am 24 years old.
139,7c8f5c,GauriKaushik,18-24,English,Intermediate,Travel,Self Study,"Writing, reading, travelling, learning mo"
140,7gx62d,sbpryjr,18-24,English,Begginer,School/Uni,Live Class,French student
141,HUJDZV,Isaac_Craig1,24-35,English,Intermediate,Travel,Live Class,no interest
142,82JCBC,VladimirB2020,45-55,German,Intermediate,Social,Self Study,"Um, I am a professional engineer, but I am currently not working, as I am retired."
143,540QNQ,Helena,35-45,Arabic,Advanced,Other,Self Study,Mom
144,BbUjBH,RonaldRanson4,65+,English,Advanced,Career,Mix,I am a little bit of everything
145,R2pcX2,santosh_10,Under 18-,English,Begginer,School/Uni,Self Study,I like to learn new languages and computer programing.
146,CqS1oq,susong91,24-35,English,Begginer,Travel,Self Study,Me
147,sK6rK2,Leadin,35-45,English,Advanced,Career,Mix,"I am a software engineer professional, i need to learn java for a job requirement, thanks"
148,p_e_m_s_j_q,Atul mohan,Under 18-,French,Intermediate,School/Uni,Mix,"Hi,"
149,qZDbmA,Learners,35-45,French,Intermediate,Social,Self Study,"I am an enthusiastic learner who enjoys acquiring new skills and knowledge. I am interested in French culture, history, and food. I am currently learning French as a hobby and would eventually like to become proficient in the language. I am also passionate about traveling and explore new places."
150,B8A250,luckybeach81,Under 18-,French,Intermediate,School/Uni,Mix,"Born in France, live in Spain , I currently work as a waitress and I have a little daughter"
151,DH2Z1D,@DH2Z1D,56-65,English,Advanced,Other,Self Study,"I love Watching Movies, Traveling, and listening to music."
152,aJS5FU,pavan_krishna,18-24,English,Intermediate,Other,Mix,"Hey! I am Sandesh. I am student and I am interested in Playing Cricket, Watching Movies, Playing Badmintion."
153,Z1UHNJ,ilanen_13,65+,Arabic,Begginer,Hobby,Live Class,No description
154,FRSZJB,frsmey,35-45,Japanese,Begginer,Career,Self Study,"Portuguese, English"
155,cUmL2g,sarahs,24-35,English,Intermediate,Career,Live Class,I am a med student who enjoys cooking. I am learning English so that I can travel more.
156,645151,wolverine83,18-24,Arabic,Begginer,Career,Self Study,Traveling
157,uRx742,Ashna21,18-24,Japanese,Begginer,Travel,Mix,I am a young student studying business courses and I am very interested in travelling so I wanted to learn Japanese because I want to go to Japan and live there for some time (I hope)
158,Qa2yVw,Siddharth1700,24-35,French,Intermediate,Career,Live Class,I am Learning German
159,Z9MBWA,mburger,18-24,English,Advanced,Social,Self Study,I am a IT guy
160,TJ0O14,TabriziT,35-45,English,Begginer,Career,Self Study,I am a mother who likes to cook and bake and learn. I am trying to speak English a bit to be able to help my children with their language development.
161,ETZNAH,s2291446,35-45,Japanese,Begginer,Hobby,Mix,"Game programmer, enrolled in colleges"
162,OE4Q8M,OwenKlare97,24-35,English,Begginer,Brain,Self Study,Trying to learn English for future trips
163,lDv6o9,sabsteye17,24-35,French,Intermediate,Brain,Live Class,"BEDA-2, language learning, French language learning"
164,x3Sk8z,X3z006,24-35,Arabic,Intermediate,Travel,Mix,"Hello, I am a 24 years old male. I have been learning Arabic for 2 years. And I am interested to learn more. Thank you."
165,0T698U,Jeff462,45-55,Arabic,Intermediate,Travel,Live Class,I work as a Sales Representative. I am looking for a language that is easy to learn.
166,CR990D,Diego_Guthrie,18-24,English,Intermediate,Hobby,Self Study,N/A
167,G6U28Q,Sidojaf,45-55,English,Begginer,School/Uni,Mix,Programmer
168,gjvzaf,jenveng,65+,German,Begginer,Other,Self Study,None
169,ieVkdW,cool_guy_159,24-35,English,Begginer,School/Uni,Mix,I am a beginner English learner. I enjoy cooking and watching movies in my free time.
170,VJ3432,vj3432,Under 18-,English,Advanced,School/Uni,Mix,Just a normal student
171,Pjn4Lr,tester123,Under 18-,German,Begginer,School/Uni,Mix,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris n"
172,d3rtkj,Kareem85,24-35,English,Advanced,Hobby,Self Study,I am an English teacher.
173,BvnZc8,ILoveEarth!,Under 18-,English,Begginer,Career,Self Study,I love Earth and everything in it.
174,A18CJE,dineshkumar359,24-35,English,Begginer,Travel,Mix,"Hello! I'm Dinesh, currently working in a Software company as a Technical Lead in Bangalore and I'm also passion towards learning languages. I'm a simple person and love to cook and watching movies."
175,tNZYmt,ramblinrose,65+,English,Advanced,Career,Self Study,"I love to travel, sing, play guitar, and hike."
176,q9V6wM,Weeee01,56-65,French,Advanced,Career,Live Class,in the love of learning French and making new friends with same passion
177,EWXKYF,bettering,56-65,German,Intermediate,School/Uni,Mix,Passionate about languages (learning and teaching)
178,JacqCi3,JacqCi3,18-24,English,Intermediate,Career,Live Class,Interested in improving my English and meeting new people!
179,FA79FY,Mariam_25,35-45,English,Advanced,Hobby,Live Class,I am a teacher and I love to teach.
180,mIxkKg,Code_Psycho,24-35,Japanese,Advanced,Travel,Mix,I am learning Japanese because I am otaku and wanna watch anime without subtitles.
181,CW6XGY,SallyK23,35-45,English,Begginer,Social,Mix,I will write my bio once I can feel the vibe of this place :)
182,crazhq,@crazhq,18-24,English,Intermediate,Social,Live Class,From Nepal \nEducation
183,5b3708,Chickena22,24-35,English,Begginer,School/Uni,Mix,I'm a traveler
184,f7u5a6,sitatsu,35-45,English,Intermediate,Other,Self Study,"Ask me about social media, DIY, small business and management."
185,J4C1BW,LearnerH,18-24,German,Advanced,Career,Mix,Student of Business
186,VxfdsR,Jimmy_H,35-45,French,Intermediate,Career,Self Study,I am an independent writer.
187,a75b7e,Ishan2002,24-35,English,Begginer,Other,Self Study,I'm a student and interested in coding and football
188,gyejlh,sushi,35-45,German,Advanced,Other,Self Study,Sushi lover
189,msqpcb,Traveler,65+,English,Advanced,Travel,Live Class,I want to learn traveling in the world
190,7705XC,KatieU19,35-45,English,Begginer,Travel,Self Study,I am a very enthusiastic person who values strong and healthy relationships. I also like to keep fit and stay active. I am a millennial and an engineer.
191,OFhNhZ,sweet_warrior913,18-24,English,Intermediate,School/Uni,Self Study,I like to play cricket
192,j6kBTg,danieleus13,24-35,Japanese,Intermediate,Brain,Mix,"I am a software engineer and enjoys anime, manga, reading and writing.  I would like a language partner who like to talk about anime, manga and life in general."
193,kqr9sh,kqr9sh,56-65,Japanese,Intermediate,Career,Mix,"Hello to all, I want to learn Japanese for work."
194,gneimn,claudiaf2000,24-35,English,Begginer,Career,Live Class,"hobby,music"
195,j6Nm1w,alexjohn9876,35-45,English,Begginer,School/Uni,Self Study,Science is my profession.
196,3ZXDH7,Savant369,35-45,German,Intermediate,Social,Live Class,Hello!
197,6bQZCV,@Awad_Mohd,18-24,English,Intermediate,Brain,Self Study,I am a language learner and I want to learn new languages.
198,23iuisr,Daniel,18-24,German,Advanced,School/Uni,Mix,Making videos for youtube
199,Ba5rw1,Chloe_Ferguson,18-24,Japanese,Begginer,Brain,Mix,"Sports, family, and cooking are my main interests."
200,kRLmzt,bellamy_60,56-65,Arabic,Begginer,Social,Mix,im a librarian
201,1348XS,z_ro_hari,24-35,English,Intermediate,School/Uni,Self Study,I am interested in learning English so that I can communicate better with people.
202,t47y2p,dinora75,18-24,English,Intermediate,School/Uni,Self Study,"I am just 18 and started learning English few months ago,I am waiting for suggestion from you all"
203,qNKyrz,markku,45-55,English,Advanced,Travel,Self Study,"The Cure, The Smiths, Chelsea, New York"
204,UuMQf9,SuzanneRose,24-35,English,Intermediate,Hobby,Mix,"I don't have any special interests or hobbies, but I do enjoy spending time with my friends and family."
205,NwUVDW,yoocus,45-55,English,Intermediate,School/Uni,Self Study,yo o
206,j074l4,talloaklin0,18-24,English,Begginer,Hobby,Mix,I'm pretty new to the language and enjoy learning it but I don't have the money to get a tutor
207,U8M99K,mlif1121,Under 18-,English,Begginer,Other,Mix,Another
208,CuvYcP,Lalitha_h,35-45,French,Begginer,School/Uni,Mix,I'm a French teacher and I love to teach French to people online.
209,r1d8jf,Nosayliko20,35-45,English,Begginer,Social,Live Class,I'm a cultural and adventure tourist.
210,OhjpHh,Tricela,35-45,Arabic,Begginer,Social,Mix,Socializing and enjoying new cultures
211,381909,anushka135,24-35,Arabic,Begginer,Career,Mix,"I am a introvert due to which i love to read books, writing stories, poetry and do sketching. I love to watch movies and listen to songs. I am also a foodie"
212,156814,change4390,18-24,English,Begginer,Travel,Self Study,I am currently a student and addicted to travel. Hope to learn English and tour around the world.
213,e5c15a,Eric_Parr,24-35,French,Begginer,Hobby,Self Study,I am a 24 year old english speaking american male
214,JjA3Vf,gauravnagpal,45-55,English,Intermediate,Travel,Self Study,simple style and exotic travel
215,kneFsw,Pratikka,24-35,Japanese,Intermediate,Career,Mix,"Books, journalism and music"
216,CMx1Ss,StanleyMargaret,45-55,English,Advanced,Career,Live Class,This is a career oriented user
217,7r7vfr,Candy_56,24-35,French,Advanced,Brain,Live Class,Interested in woodwork
218,n5gW28,Naveen1413,18-24,Japanese,Begginer,Hobby,Self Study,A passionate and curious person who is always looking for new challenges and opportunities.
219,R6z7kT,joe500,Under 18-,English,Begginer,Travel,Mix,I have just started using Duolingo
220,tXwKhJ,ephemeral_brown,24-35,Japanese,Advanced,Brain,Mix,I am a Japanese student. I am studying French at school.
221,U127589,maxmizzzzz,18-24,English,Begginer,School/Uni,Self Study,:)
222,QQ6FFY,sanjithd9,24-35,English,Begginer,Social,Self Study,"Emotional,Open minded, funny"
223,JL2AOV,manishg037,35-45,English,Advanced,Hobby,Mix,I really appreciate the query.
224,fUoqZz,JeanPaul2021,65+,English,Advanced,School/Uni,Self Study,I'm 29 years old and I am studying to become a lawyer. I like to play tennis and also like to go for long walks. I also enjoy cooking and reading.
225,BVJ12G,B-VJ-12-G,45-55,German,Intermediate,Hobby,Self Study,Science
226,-M99589,herpenomens,Under 18-,French,Intermediate,Social,Self Study,"\nI am a crazy, I love all the sports."
227,WK5PZK,WK5PZK,24-35,English,Begginer,School/Uni,Self Study,Psychology research
228,PrZDQm,Rozaliya_1987,24-35,English,Intermediate,Travel,Mix,Ask me about different kind of things
229,v1Lp2U,moxbay,Under 18-,English,Begginer,Travel,Self Study,I am a student
230,RS38YR,patelshivam123,35-45,French,Begginer,Career,Mix,"I am a software engineer and currently working for a Fortune 50 company. I have experience in Python, R and C++. I also have a good understanding of DBMS and SQL."
231,u33w7x,pavel-cesar-vladimir,18-24,French,Begginer,Hobby,Self Study,My name is Pavel I'm 18 years old and I study French. I am fond of this language and French culture in general.
232,rKARQwB,bill_gates,65+,English,Intermediate,Career,Self Study,I love music and I work as a school administrator
233,tqwADz,thegr835,65+,English,Intermediate,Brain,Mix,I am a scientist
234,OYUNTA,Oyunta2000,35-45,English,Begginer,Career,Self Study,Hello all my name is Oyunta and I am from Tanzania. I will be very happy if you add me as a friend
235,MCLUOI,@travelmaker,65+,English,Advanced,Travel,Self Study,I love to travel.
236,u-tktqh,AnanKrishna,35-45,Japanese,Intermediate,Career,Self Study,"I am from Bangalore ,India"
237,u017548,AnshuRai,Under 18-,English,Begginer,Travel,Mix,I am a student
238,v7E3NV,larsfats,65+,English,Advanced,Career,Mix,i am not interested
239,Yadkva,briane_m,24-35,English,Advanced,School/Uni,Mix,The greatest
240,2PQD31,Dhruv_G,18-24,English,Begginer,Career,Live Class,Software Developer
241,4N64XE,ThePieMan69,45-55,English,Intermediate,Travel,Live Class,I love music and traveling. I'm also interested in
242,OI5LJV,NickAsa,24-35,German,Intermediate,Career,Self Study,I love music and travel.
243,2x46Ep,Riju7819,45-55,English,Intermediate,Travel,Mix,"My Name is Riju. I am an enthusiastic learner of English Language. I want to learn English Language to read, write and communicate English fluently."
244,dN08Y4,eugnax,24-35,Japanese,Begginer,Career,Live Class,Just trying to learn a few languages here and there :)
245,V63YLQ,Jonathan,35-45,English,Begginer,Travel,Live Class,I am a leisure traveler who wants to learn English so that I can have more enjoyable travel.
246,U-A8331F,Homer,18-24,Arabic,Begginer,Brain,Self Study,English
